Temp,N/H,P,D/H,T/H,He3/H,He4,Li6/H,Li7/H,Be7/H,Li8/H&up,T,rhog,rhoe,rhone,rhob,phie,dt,eta,H
100.0,0.8606,0.5375,7.337e-12,1.861e-25,1.861e-25,4e-25,1.861e-25,1.861e-25,1.861e-25,3.163e-24,0.01082,841800000.0,1474000000.0,2210000000.0,57.71,6.605e-10,0.0001,1.713e-09,50.3
94.39,0.8526,0.5398,6.794e-12,2.123e-23,2.267e-23,4e-25,1.853e-25,1.853e-25,1.853e-25,3.149e-24,0.01203,668100000.0,1169000000.0,1754000000.0,48.52,6.633e-10,0.0002188,1.713e-09,44.81
85.49,0.8384,0.5439,5.972e-12,1.779e-23,1.913e-23,4e-25,1.838e-25,1.838e-25,1.838e-25,3.125e-24,0.01448,449600000.0,787000000.0,1180000000.0,36.05,6.685e-10,0.0002668,1.713e-09,36.76
77.43,0.823,0.5485,5.258e-12,1.462e-23,1.584e-23,4e-25,1.823e-25,1.823e-25,1.823e-25,3.099e-24,0.01746,302600000.0,529600000.0,794200000.0,26.79,6.742e-10,0.0003252,1.713e-09,30.15
70.13,0.8064,0.5536,4.64e-12,1.212e-23,1.325e-23,4e-25,1.806e-25,1.806e-25,1.806e-25,3.071e-24,0.02109,203600000.0,356400000.0,534400000.0,19.9,6.805e-10,0.0003965,1.713e-09,24.74
63.52,0.7885,0.5591,4.104e-12,1.016e-23,1.121e-23,4e-25,1.789e-25,1.789e-25,1.789e-25,3.04e-24,0.02552,137100000.0,239800000.0,359600000.0,14.79,6.875e-10,0.0004834,1.713e-09,20.29
57.53,0.7693,0.5652,3.639e-12,8.63e-24,9.615e-24,4e-25,1.769e-25,1.769e-25,1.769e-25,3.008e-24,0.03092,92240000.0,161400000.0,242000000.0,10.98,6.952e-10,0.0005893,1.712e-09,16.64
52.11,0.7487,0.5719,3.236e-12,7.427e-24,8.368e-24,4e-25,1.749e-25,1.749e-25,1.749e-25,2.973e-24,0.0375,62080000.0,108600000.0,162800000.0,8.161,7.036e-10,0.0007185,1.712e-09,13.65
47.2,0.7268,0.5791,2.886e-12,6.489e-24,7.399e-24,4e-25,1.727e-25,1.727e-25,1.727e-25,2.935e-24,0.04553,41780000.0,73070000.0,109500000.0,6.063,7.128e-10,0.000876,1.712e-09,11.2
42.75,0.7035,0.587,2.584e-12,5.765e-24,6.659e-24,4e-25,1.703e-25,1.703e-25,1.703e-25,2.896e-24,0.05531,28120000.0,49160000.0,73700000.0,4.504,7.23e-10,0.001068,1.711e-09,9.187
38.72,0.6788,0.5957,2.322e-12,5.216e-24,6.111e-24,4e-25,1.679e-25,1.679e-25,1.679e-25,2.854e-24,0.06724,18920000.0,33070000.0,49580000.0,3.345,7.341e-10,0.001302,1.711e-09,7.536
35.07,0.653,0.605,2.095e-12,4.816e-24,5.727e-24,4e-25,1.653e-25,1.653e-25,1.653e-25,2.81e-24,0.08179,12730000.0,22250000.0,33350000.0,2.485,7.462e-10,0.001588,1.71e-09,6.181
31.77,0.626,0.615,1.899e-12,4.548e-24,5.495e-24,4e-25,1.626e-25,1.626e-25,1.626e-25,2.764e-24,0.09953,8570000.0,14970000.0,22430000.0,1.846,7.593e-10,0.001937,1.709e-09,5.069
28.77,0.598,0.6258,1.731e-12,4.404e-24,5.41e-24,4e-25,1.598e-25,1.598e-25,1.598e-25,2.717e-24,0.1212,5768000.0,10070000.0,15090000.0,1.371,7.735e-10,0.002363,1.709e-09,4.158
26.06,0.5692,0.6373,1.587e-12,4.384e-24,5.48e-24,4e-25,1.569e-25,1.569e-25,1.569e-25,2.668e-24,0.1476,3882000.0,6771000.0,10140000.0,1.018,7.888e-10,0.002882,1.707e-09,3.41
23.6,0.54,0.6494,1.465e-12,4.503e-24,5.726e-24,4e-25,1.54e-25,1.54e-25,1.54e-25,2.618e-24,0.1798,2613000.0,4553000.0,6820000.0,0.7556,8.051e-10,0.003516,1.706e-09,2.796
21.38,0.5105,0.662,1.362e-12,4.789e-24,6.194e-24,4e-25,1.511e-25,1.511e-25,1.511e-25,2.568e-24,0.2191,1758000.0,3061000.0,4584000.0,0.5609,8.224e-10,0.004291,1.704e-09,2.293
19.36,0.4812,0.6751,1.279e-12,5.297e-24,6.961e-24,4e-25,1.481e-25,1.481e-25,1.481e-25,2.518e-24,0.267,1183000.0,2057000.0,3080000.0,0.4163,8.405e-10,0.005237,1.702e-09,1.88
17.54,0.4524,0.6885,1.212e-12,6.123e-24,8.162e-24,4e-25,1.452e-25,1.452e-25,1.452e-25,2.469e-24,0.3256,796400.0,1382000.0,2069000.0,0.3089,8.594e-10,0.006394,1.7e-09,1.541
15.89,0.4244,0.702,1.163e-12,7.441e-24,1.003e-23,4e-25,1.424e-25,1.424e-25,1.424e-25,2.422e-24,0.3971,536000.0,928700.0,1389000.0,0.2291,8.79e-10,0.00781,1.697e-09,1.263
14.39,0.3977,0.7155,1.132e-12,9.566e-24,1.298e-23,4e-25,1.398e-25,1.398e-25,1.398e-25,2.376e-24,0.4844,360700.0,623500.0,932500.0,0.1699,8.989e-10,0.009542,1.694e-09,1.035
