                                                      NUCLIDE ABUNDANCE YIELDS
                                                      ------- --------- ------


 Computational parameters:
   cy = 0.100/  ct = 0.010/  initial temp = 1.00E+02/  final temp = 1.00E-02/  smallest abundances allowed = 1.00E-25
 Model parameters:
   g =  1.00/  tau = 885.70/  # nu =  3.00/  lambda =  0.000E+00/  xi-e =  0.000E+00/  xi-m =  0.000E+00/  xi-t =  0.000E+00

    Temp        N/H          P          D/H         T/H        He3/H        He4        Li6/H       Li7/H       Be7/H      Li8/H&up
------------------------------------------------------------------------------------------------------------------------------------
 1.000E+02   8.606E-01   5.375E-01   7.337E-12   1.861E-25   1.861E-25   4.000E-25   1.861E-25   1.861E-25   1.861E-25   3.163E-24
 9.439E+01   8.526E-01   5.398E-01   6.794E-12   2.123E-23   2.267E-23   4.000E-25   1.853E-25   1.853E-25   1.853E-25   3.149E-24
 8.549E+01   8.384E-01   5.439E-01   5.972E-12   1.779E-23   1.913E-23   4.000E-25   1.838E-25   1.838E-25   1.838E-25   3.125E-24
 7.743E+01   8.230E-01   5.485E-01   5.258E-12   1.462E-23   1.584E-23   4.000E-25   1.823E-25   1.823E-25   1.823E-25   3.099E-24
 7.013E+01   8.064E-01   5.536E-01   4.640E-12   1.212E-23   1.325E-23   4.000E-25   1.806E-25   1.806E-25   1.806E-25   3.071E-24
 6.352E+01   7.885E-01   5.591E-01   4.104E-12   1.016E-23   1.121E-23   4.000E-25   1.789E-25   1.789E-25   1.789E-25   3.040E-24
 5.753E+01   7.693E-01   5.652E-01   3.639E-12   8.630E-24   9.615E-24   4.000E-25   1.769E-25   1.769E-25   1.769E-25   3.008E-24
 5.211E+01   7.487E-01   5.719E-01   3.236E-12   7.427E-24   8.368E-24   4.000E-25   1.749E-25   1.749E-25   1.749E-25   2.973E-24
 4.720E+01   7.268E-01   5.791E-01   2.886E-12   6.489E-24   7.399E-24   4.000E-25   1.727E-25   1.727E-25   1.727E-25   2.935E-24
 4.275E+01   7.035E-01   5.870E-01   2.584E-12   5.765E-24   6.659E-24   4.000E-25   1.703E-25   1.703E-25   1.703E-25   2.896E-24
 3.872E+01   6.788E-01   5.957E-01   2.322E-12   5.216E-24   6.111E-24   4.000E-25   1.679E-25   1.679E-25   1.679E-25   2.854E-24
 3.507E+01   6.530E-01   6.050E-01   2.095E-12   4.816E-24   5.727E-24   4.000E-25   1.653E-25   1.653E-25   1.653E-25   2.810E-24
 3.177E+01   6.260E-01   6.150E-01   1.899E-12   4.548E-24   5.495E-24   4.000E-25   1.626E-25   1.626E-25   1.626E-25   2.764E-24
 2.877E+01   5.980E-01   6.258E-01   1.731E-12   4.404E-24   5.410E-24   4.000E-25   1.598E-25   1.598E-25   1.598E-25   2.717E-24
 2.606E+01   5.692E-01   6.373E-01   1.587E-12   4.384E-24   5.480E-24   4.000E-25   1.569E-25   1.569E-25   1.569E-25   2.668E-24
 2.360E+01   5.400E-01   6.494E-01   1.465E-12   4.503E-24   5.726E-24   4.000E-25   1.540E-25   1.540E-25   1.540E-25   2.618E-24
 2.138E+01   5.105E-01   6.620E-01   1.362E-12   4.789E-24   6.194E-24   4.000E-25   1.511E-25   1.511E-25   1.511E-25   2.568E-24
 1.936E+01   4.812E-01   6.751E-01   1.279E-12   5.297E-24   6.961E-24   4.000E-25   1.481E-25   1.481E-25   1.481E-25   2.518E-24
 1.754E+01   4.524E-01   6.885E-01   1.212E-12   6.123E-24   8.162E-24   4.000E-25   1.452E-25   1.452E-25   1.452E-25   2.469E-24
 1.589E+01   4.244E-01   7.020E-01   1.163E-12   7.441E-24   1.003E-23   4.000E-25   1.424E-25   1.424E-25   1.424E-25   2.422E-24
 1.439E+01   3.977E-01   7.155E-01   1.132E-12   9.566E-24   1.298E-23   4.000E-25   1.398E-25   1.398E-25   1.398E-25   2.376E-24
 1.303E+01   3.724E-01   7.286E-01   1.118E-12   1.311E-23   1.782E-23   4.000E-25   1.372E-25   1.372E-25   1.372E-25   2.333E-24
 1.180E+01   3.489E-01   7.414E-01   1.126E-12   1.930E-23   2.608E-23   4.000E-25   1.349E-25   1.349E-25   1.349E-25   2.293E-24
 1.069E+01   3.273E-01   7.534E-01   1.157E-12   3.079E-23   4.104E-23   4.000E-25   1.327E-25   1.327E-25   1.327E-25   2.256E-24
 9.795E+00   3.098E-01   7.635E-01   1.210E-12   5.021E-23   6.552E-23   2.639E-24   1.310E-25   1.310E-25   1.310E-25   2.227E-24
 9.042E+00   2.953E-01   7.720E-01   1.282E-12   8.401E-23   1.067E-22   1.799E-23   1.295E-25   1.295E-25   1.295E-25   2.202E-24
 8.423E+00   2.835E-01   7.791E-01   1.372E-12   1.406E-22   1.730E-22   1.150E-22   1.284E-25   1.284E-25   1.284E-25   2.182E-24
 7.907E+00   2.739E-01   7.850E-01   1.477E-12   2.342E-22   2.785E-22   6.934E-22   1.274E-25   1.274E-25   1.274E-25   2.166E-24
 7.471E+00   2.659E-01   7.899E-01   1.596E-12   3.865E-22   4.434E-22   3.958E-21   1.266E-25   1.266E-25   1.266E-25   2.152E-24
 7.096E+00   2.592E-01   7.941E-01   1.730E-12   6.322E-22   6.987E-22   2.142E-20   1.259E-25   1.259E-25   1.259E-25   2.141E-24
 6.759E+00   2.533E-01   7.979E-01   1.885E-12   1.043E-21   1.109E-21   1.096E-19   1.253E-25   1.253E-25   1.253E-25   2.131E-24
 6.412E+00   2.474E-01   8.017E-01   2.090E-12   1.865E-21   1.890E-21   5.267E-19   1.247E-25   1.247E-25   1.247E-25   2.121E-24
 5.964E+00   2.401E-01   8.064E-01   2.455E-12   4.436E-21   4.178E-21   2.371E-18   1.240E-25   1.240E-25   1.240E-25   2.108E-24
 5.406E+00   2.314E-01   8.121E-01   3.171E-12   1.659E-20   1.391E-20   8.797E-18   1.231E-25   1.231E-25   1.231E-25   2.093E-24
 4.897E+00   2.239E-01   8.170E-01   4.303E-12   7.496E-20   5.480E-20   2.824E-17   1.224E-25   1.224E-25   1.224E-25   2.081E-24
 4.472E+00   2.181E-01   8.209E-01   5.961E-12   3.570E-19   2.256E-19   9.236E-17   1.218E-25   1.218E-25   1.218E-25   2.254E-24
 4.126E+00   2.137E-01   8.240E-01   8.274E-12   1.654E-18   9.032E-19   3.067E-16   1.214E-25   1.214E-25   1.214E-25   3.329E-24
 3.840E+00   2.102E-01   8.263E-01   1.146E-11   7.377E-18   3.491E-18   1.024E-15   1.210E-25   1.210E-25   1.210E-25   7.891E-24
 3.600E+00   2.073E-01   8.283E-01   1.582E-11   3.177E-17   1.307E-17   3.411E-15   1.207E-25   1.207E-25   1.207E-25   2.616E-23
 3.394E+00   2.050E-01   8.299E-01   2.177E-11   1.325E-16   4.746E-17   1.129E-14   1.205E-25   1.205E-25   1.205E-25   9.474E-23
 3.215E+00   2.030E-01   8.312E-01   2.984E-11   5.359E-16   1.678E-16   3.703E-14   1.203E-25   1.203E-25   1.203E-25   3.264E-22
 3.058E+00   2.013E-01   8.324E-01   4.075E-11   2.109E-15   5.782E-16   1.202E-13   1.201E-25   1.201E-25   1.201E-25   9.594E-22
 2.919E+00   1.998E-01   8.334E-01   5.543E-11   8.087E-15   1.946E-15   3.856E-13   1.200E-25   1.200E-25   1.200E-25   2.199E-21
 2.794E+00   1.985E-01   8.344E-01   7.511E-11   3.023E-14   6.400E-15   1.222E-12   1.199E-25   1.199E-25   1.199E-25   3.918E-21
 2.683E+00   1.973E-01   8.352E-01   1.014E-10   1.103E-13   2.058E-14   3.827E-12   1.197E-25   1.197E-25   1.197E-25   5.775E-21
 2.581E+00   1.962E-01   8.360E-01   1.366E-10   3.930E-13   6.476E-14   1.185E-11   1.196E-25   1.196E-25   1.196E-25   7.519E-21
 2.487E+00   1.952E-01   8.367E-01   1.841E-10   1.368E-12   1.992E-13   3.639E-11   1.195E-25   1.195E-25   1.195E-25   9.058E-21
 2.399E+00   1.942E-01   8.374E-01   2.498E-10   4.657E-12   5.976E-13   1.120E-10   1.194E-25   1.194E-25   1.194E-25   1.039E-20
 2.311E+00   1.932E-01   8.381E-01   3.473E-10   1.542E-11   1.728E-12   3.520E-10   1.193E-25   1.193E-25   1.193E-25   1.156E-20
